	ReferenceID	Latitude	Longitude	DateTime	day_of_week_sin	day_of_week_cos	time_sin	time_cos
111	24-P18375	0.11037667051082001	0.9991116380847171	2024-07-03 01:40:24.000	0.9749279121818236	-0.22252093395631434	0.42261826174069944	0.9063077870366499
112	SAPD24144494	-0.6887762024286005	-0.5361771797050574	2024-07-03 00:00:00.000	0.9749279121818236	-0.22252093395631434	0.0	1.0
113	SAPD24143255	-0.7233354250050945	-0.7158749243289516	2024-07-02 08:36:00.000	0.7818314824680298	0.6234898018587336	0.777145961456971	-0.6293203910498373
114	SAPD24143241	0.08915185536937087	-0.4646109510081824	2024-07-02 07:50:00.000	0.7818314824680298	0.6234898018587336	0.8870108331782218	-0.4617486132350338
115	24-P18286	0.17450054270402315	0.9158542557855416	2024-07-02 04:52:51.000	0.7818314824680298	0.6234898018587336	0.9563047559630354	0.29237170472273677
116	SAPD24143157	-0.5810706532799794	-0.2933642994733955	2024-07-02 03:29:00.000	0.7818314824680298	0.6234898018587336	0.7906895737438434	0.6122172800344492
117	SAPD24155620	-0.5857133165999687	-0.33428333708131897	2024-07-01 12:00:00.000	0.0	1.0	1.2246467991473532e-16	-1.0
118	SAPD24142515	-0.6123015738416677	-0.7955115195798181	2024-07-01 10:07:00.000	0.0	1.0	0.4733196671848435	-0.8808907382053855
119	SAPD24142422	-0.47651957126381994	-0.632319694740412	2024-07-01 08:38:00.000	0.0	1.0	0.7716245833877199	-0.6360782202777641
120	SAPD24141853	-0.2512041245505815	-0.6425785913772328	2024-06-30 12:49:00.000	-0.7818314824680299	0.6234898018587334	-0.21217767215644617	-0.9772311064626789
121	SAPD24142061	-0.09400227257310367	-0.14949628877367893	2024-06-30 09:30:00.000	-0.7818314824680299	0.6234898018587334	0.6087614290087209	-0.793353340291235
122	SAPD24139524	0.282418085611555	-0.30616137301101365	2024-06-29 17:30:24.000	-0.9749279121818236	-0.2225209339563146	-0.9914448613738104	-0.13052619222005163
123	SAPD24141210	-0.23037785767587438	-0.5519475461836159	2024-06-29 15:18:00.000	-0.9749279121818236	-0.2225209339563146	-0.7604059656000306	-0.6494480483301841
124	SAPD24140977	-0.2600951427990006	-0.09593039626106759	2024-06-29 04:22:00.000	-0.9749279121818236	-0.2225209339563146	0.9099612708765432	0.41469324265623914
125	SAPD24142662	-0.36131368292518684	-0.4082193942111012	2024-06-28 14:00:00.000	-0.433883739117558	-0.9009688679024191	-0.5000000000000001	-0.8660254037844386
